OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_ID,FSQ_Category_Label,FSQ_Category_Primary,FSQ_Category_Secondary,Match_Score,Match_Quality
dental_supply_store,Healthcare & Medical,Healthcare & Medical,17095,Retail > Medical Supply Store,Retail , Medical Supply Store,0.821,High
pathologist,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.571,Low
pediatrician,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.636,Medium
health_department,Healthcare & Medical,Healthcare & Medical,15000,Health and Medicine,Health and Medicine,,0.611,Medium
oral_surgeon,Healthcare & Medical,Healthcare & Medical,16025,Landmarks and Outdoors > Memorial Site,Landmarks and Outdoors , Memorial Site,0.56,Low
rheumatologist,Healthcare & Medical,Healthcare & Medical,12076,Community and Government > Government Lobbyist,Community and Government , Government Lobbyist,0.485,Low
surgeon,Healthcare & Medical,Healthcare & Medical,11107,Business and Professional Services > Insurance Agency,Business and Professional Services , Insurance Agency,0.522,Low
maternity_wear,Healthcare & Medical,Healthcare & Medical,15015,Health and Medicine > Maternity Clinic,Health and Medicine , Maternity Clinic,0.667,Medium
cosmetic_surgeon,Healthcare & Medical,Healthcare & Medical,17030,Retail > Cosmetics Store,Retail , Cosmetics Store,0.774,Medium
geriatric_medicine,Healthcare & Medical,Healthcare & Medical,15000,Health and Medicine,Health and Medicine,,0.649,Medium
abortion_clinic,Healthcare & Medical,Healthcare & Medical,15052,Health and Medicine > Sports Medicine Clinic,Health and Medicine , Sports Medicine Clinic,0.649,Medium
orthopedist,Healthcare & Medical,Healthcare & Medical,16015,Landmarks and Outdoors > Forest,Landmarks and Outdoors , Forest,0.588,Low
sex_therapist,Healthcare & Medical,Healthcare & Medical,16004,Landmarks and Outdoors > Bike Trail,Landmarks and Outdoors , Bike Trail,0.522,Low
medical_sciences_schools,Healthcare & Medical,Healthcare & Medical,15016,Health and Medicine > Medical Center,Health and Medicine , Medical Center,0.632,Medium
medical_research_and_development,Healthcare & Medical,Healthcare & Medical,12079,Community and Government > Housing Development,Community and Government , Housing Development,0.549,Low
doctor,Healthcare & Medical,Healthcare & Medical,11040,Business and Professional Services > Factory,Business and Professional Services , Factory,0.615,Medium
animal_assisted_therapy,Healthcare & Medical,Healthcare & Medical,12002,Community and Government > Animal Shelter,Community and Government , Animal Shelter,0.595,Low
urgent_care_clinic,Healthcare & Medical,Healthcare & Medical,15053,Health and Medicine > Urgent Care Center,Health and Medicine , Urgent Care Center,0.778,Medium
ophthalmologist,Healthcare & Medical,Healthcare & Medical,15024,Health and Medicine > Optometrist,Health and Medicine , Optometrist,0.538,Low
neuropathologist,Healthcare & Medical,Healthcare & Medical,15024,Health and Medicine > Optometrist,Health and Medicine , Optometrist,0.519,Low
toxicologist,Healthcare & Medical,Healthcare & Medical,11108,Business and Professional Services > Technology Business > IT Service,Business and Professional Services , Technology Business ,0.516,Low
medical_spa,Healthcare & Medical,Healthcare & Medical,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.818,High
sperm_clinic,Healthcare & Medical,Healthcare & Medical,15015,Health and Medicine > Maternity Clinic,Health and Medicine , Maternity Clinic,0.643,Medium
sports_medicine,Healthcare & Medical,Healthcare & Medical,15052,Health and Medicine > Sports Medicine Clinic,Health and Medicine , Sports Medicine Clinic,0.9,High
dentist,Healthcare & Medical,Healthcare & Medical,15007,Health and Medicine > Dentist,Health and Medicine , Dentist,1.0,High
health_insurance_office,Healthcare & Medical,Healthcare & Medical,11020,Business and Professional Services > Office > Business and Strategy Consulting Office,Business and Professional Services , Office ,0.9,High
osteopathic_physician,Healthcare & Medical,Healthcare & Medical,15027,Health and Medicine > Physician,Health and Medicine , Physician,0.9,High
hypnosis_hypnotherapy,Healthcare & Medical,Healthcare & Medical,15026,Health and Medicine > Physical Therapy Clinic,Health and Medicine , Physical Therapy Clinic,0.545,Low
pediatric_oncology,Healthcare & Medical,Healthcare & Medical,11121,Business and Professional Services > Media Agency,Business and Professional Services , Media Agency,0.533,Low
prenatal_perinatal_care,Healthcare & Medical,Healthcare & Medical,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,0.649,Medium
dental_hygienist,Healthcare & Medical,Healthcare & Medical,15007,Health and Medicine > Dentist,Health and Medicine , Dentist,0.609,Medium
acupuncture,Healthcare & Medical,Healthcare & Medical,15001,Health and Medicine > Acupuncture Clinic,Health and Medicine , Acupuncture Clinic,0.9,High
pharmacy_schools,Healthcare & Medical,Healthcare & Medical,17145,Retail > Pharmacy,Retail , Pharmacy,0.9,High
cryotherapy,Healthcare & Medical,Healthcare & Medical,13037,Dining and Drinking > Cafeteria,Dining and Drinking , Cafeteria,0.5,Low
hospice,Healthcare & Medical,Healthcare & Medical,15013,Health and Medicine > Hospice,Health and Medicine , Hospice,1.0,High
hematology,Healthcare & Medical,Healthcare & Medical,12081,Community and Government > Observatory,Community and Government , Observatory,0.476,Low
hospitalist,Healthcare & Medical,Healthcare & Medical,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.9,High
plastic_surgeon,Healthcare & Medical,Healthcare & Medical,11141,Business and Professional Services > Plastics Supplier,Business and Professional Services , Plastics Supplier,0.688,Medium
clinical_laboratories,Healthcare & Medical,Healthcare & Medical,11109,Business and Professional Services > Laboratory,Business and Professional Services , Laboratory,0.581,Low
audiologist,Healthcare & Medical,Healthcare & Medical,11007,Business and Professional Services > Auditorium,Business and Professional Services , Auditorium,0.571,Low
health_spa,Healthcare & Medical,Healthcare & Medical,11039,Business and Professional Services > Event Space,Business and Professional Services , Event Space,0.571,Low
marriage_or_relationship_counselor,Healthcare & Medical,Healthcare & Medical,11023,Business and Professional Services > Career Counselor,Business and Professional Services , Career Counselor,0.52,Low
pediatric_cardiology,Healthcare & Medical,Healthcare & Medical,10046,Arts and Entertainment > Psychic and Astrologer,Arts and Entertainment , Psychic and Astrologer,0.476,Low
walk_in_clinic,Healthcare & Medical,Healthcare & Medical,15015,Health and Medicine > Maternity Clinic,Health and Medicine , Maternity Clinic,0.6,Medium
nephrologist,Healthcare & Medical,Healthcare & Medical,15023,Health and Medicine > Nutritionist,Health and Medicine , Nutritionist,0.5,Low
dialysis_clinic,Healthcare & Medical,Healthcare & Medical,15015,Health and Medicine > Maternity Clinic,Health and Medicine , Maternity Clinic,0.581,Low
immunodermatologist,Healthcare & Medical,Healthcare & Medical,12076,Community and Government > Government Lobbyist,Community and Government , Government Lobbyist,0.526,Low
emergency_room,Healthcare & Medical,Healthcare & Medical,15008,Health and Medicine > Emergency Service,Health and Medicine , Emergency Service,0.71,Medium
pediatric_nephrology,Healthcare & Medical,Healthcare & Medical,16040,Landmarks and Outdoors > Pedestrian Plaza,Landmarks and Outdoors , Pedestrian Plaza,0.5,Low
emergency_pet_hospital,Healthcare & Medical,Healthcare & Medical,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.9,High
cannabis_clinic,Healthcare & Medical,Healthcare & Medical,15015,Health and Medicine > Maternity Clinic,Health and Medicine , Maternity Clinic,0.645,Medium
medical_transportation,Healthcare & Medical,Healthcare & Medical,19023,Travel and Transportation > Port,Travel and Transportation , Port,0.9,High
concierge_medicine,Healthcare & Medical,Healthcare & Medical,15052,Health and Medicine > Sports Medicine Clinic,Health and Medicine , Sports Medicine Clinic,0.55,Low
medical_law,Healthcare & Medical,Healthcare & Medical,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.909,High
skilled_nursing,Healthcare & Medical,Healthcare & Medical,10048,Arts and Entertainment > Roller Rink,Arts and Entertainment , Roller Rink,0.538,Low
hydrotherapy,Healthcare & Medical,Healthcare & Medical,15026,Health and Medicine > Physical Therapy Clinic,Health and Medicine , Physical Therapy Clinic,0.514,Low
neurologist,Healthcare & Medical,Healthcare & Medical,15023,Health and Medicine > Nutritionist,Health and Medicine , Nutritionist,0.609,Medium
massage_therapy,Healthcare & Medical,Healthcare & Medical,12003,Community and Government > Cemetery,Community and Government , Cemetery,0.522,Low
cardiovascular_and_thoracic_surgeon,Healthcare & Medical,Healthcare & Medical,17082,Retail > Furniture and Home Store,Retail , Furniture and Home Store,0.508,Low
medical_service_organizations,Healthcare & Medical,Healthcare & Medical,12082,Community and Government > Organization,Community and Government , Organization,0.9,High
health_consultant,Healthcare & Medical,Healthcare & Medical,11119,Business and Professional Services > Management Consultant,Business and Professional Services , Management Consultant,0.684,Medium
health_and_wellness_club,Healthcare & Medical,Healthcare & Medical,16070,Landmarks and Outdoors > Well,Landmarks and Outdoors , Well,0.9,High
psychotherapist,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.56,Low
pet_hospice,Healthcare & Medical,Healthcare & Medical,15013,Health and Medicine > Hospice,Health and Medicine , Hospice,0.9,High
pharmacy,Healthcare & Medical,Healthcare & Medical,17145,Retail > Pharmacy,Retail , Pharmacy,1.0,High
psychiatrist,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.727,Medium
laser_eye_surgery_lasik,Healthcare & Medical,Healthcare & Medical,10022,Arts and Entertainment > Laser Tag Center,Arts and Entertainment , Laser Tag Center,0.462,Low
eye_care_clinic,Healthcare & Medical,Healthcare & Medical,15011,Health and Medicine > Healthcare Clinic,Health and Medicine , Healthcare Clinic,0.75,Medium
obstetrician_and_gynecologist,Healthcare & Medical,Healthcare & Medical,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.5,Low
dermatologist,Healthcare & Medical,Healthcare & Medical,15007,Health and Medicine > Dentist,Health and Medicine , Dentist,0.6,Medium
naturopathic_holistic,Healthcare & Medical,Healthcare & Medical,17082,Retail > Furniture and Home Store,Retail , Furniture and Home Store,0.444,Low
hospital_equipment_and_supplies,Healthcare & Medical,Healthcare & Medical,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.9,High
acne_treatment,Healthcare & Medical,Healthcare & Medical,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.65,Medium
podiatrist,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,1.0,High
dentistry_schools,Healthcare & Medical,Healthcare & Medical,15007,Health and Medicine > Dentist,Health and Medicine , Dentist,0.9,High
home_health_care,Healthcare & Medical,Healthcare & Medical,15012,Health and Medicine > Home Health Care Service,Health and Medicine , Home Health Care Service,0.9,High
hospital,Healthcare & Medical,Healthcare & Medical,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,1.0,High
holistic_animal_care,Healthcare & Medical,Healthcare & Medical,16005,Landmarks and Outdoors > Botanical Garden,Landmarks and Outdoors , Botanical Garden,0.611,Medium
pediatric_anesthesiology,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.529,Low
medical_school,Healthcare & Medical,Healthcare & Medical,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.72,Medium
preventive_medicine,Healthcare & Medical,Healthcare & Medical,14000,Event,Event,,0.9,High
childrens_hospital,Healthcare & Medical,Healthcare & Medical,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.9,High
environmental_medicine,Healthcare & Medical,Healthcare & Medical,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,0.611,Medium
child_psychiatrist,Healthcare & Medical,Healthcare & Medical,15051,Health and Medicine > Podiatrist,Health and Medicine , Podiatrist,0.571,Low
medical_cannabis_referral,Healthcare & Medical,Healthcare & Medical,15016,Health and Medicine > Medical Center,Health and Medicine , Medical Center,0.615,Medium
pediatric_endocrinology,Healthcare & Medical,Healthcare & Medical,11121,Business and Professional Services > Media Agency,Business and Professional Services , Media Agency,0.514,Low
addiction_rehabilitation_center,Healthcare & Medical,Healthcare & Medical,12093,Community and Government > Rehabilitation Center,Community and Government , Rehabilitation Center,0.9,High
neurotologist,Healthcare & Medical,Healthcare & Medical,15023,Health and Medicine > Nutritionist,Health and Medicine , Nutritionist,0.56,Low
animal_physical_therapy,Healthcare & Medical,Healthcare & Medical,15026,Health and Medicine > Physical Therapy Clinic,Health and Medicine , Physical Therapy Clinic,0.696,Medium
homeopathic_medicine,Healthcare & Medical,Healthcare & Medical,15000,Health and Medicine,Health and Medicine,,0.718,Medium
gardener,Home & Garden Services,Home & Garden Services,16017,Landmarks and Outdoors > Garden,Landmarks and Outdoors , Garden,0.9,High
air_duct_cleaning_service,Home & Garden Services,Home & Garden Services,12096,Community and Government > Senior Citizen Service,Community and Government , Senior Citizen Service,0.638,Medium
industrial_cleaning_services,Home & Garden Services,Home & Garden Services,11172,Business and Professional Services > Tutoring Service,Business and Professional Services , Tutoring Service,0.636,Medium
deck_and_railing_sales_service,Home & Garden Services,Home & Garden Services,11056,Business and Professional Services > Food and Beverage Service,Business and Professional Services , Food and Beverage Service,0.655,Medium
key_and_locksmith,Home & Garden Services,Home & Garden Services,11115,Business and Professional Services > Locksmith,Business and Professional Services , Locksmith,0.9,High
carpet_cleaning,Home & Garden Services,Home & Garden Services,15011,Health and Medicine > Healthcare Clinic,Health and Medicine , Healthcare Clinic,0.562,Low
garage_door_service,Home & Garden Services,Home & Garden Services,11060,Business and Professional Services > Geological Service,Business and Professional Services , Geological Service,0.649,Medium
gutter_service,Home & Garden Services,Home & Garden Services,11009,Business and Professional Services > Automotive Service,Business and Professional Services , Automotive Service,0.75,Medium
junk_removal_and_hauling,Home & Garden Services,Home & Garden Services,11186,Business and Professional Services > Market Research and Consulting Service,Business and Professional Services , Market Research and Consulting Service,0.484,Low
cleaning_products_supplier,Home & Garden Services,Home & Garden Services,11110,Business and Professional Services > Leather Supplier,Business and Professional Services , Leather Supplier,0.619,Medium
cleaning_services,Home & Garden Services,Home & Garden Services,11116,Business and Professional Services > Logging Service,Business and Professional Services , Logging Service,0.75,Medium
pressure_washing,Home & Garden Services,Home & Garden Services,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.538,Low
indoor_landscaping,Home & Garden Services,Home & Garden Services,18035,Sports and Recreation > Indoor Play Area,Sports and Recreation , Indoor Play Area,0.588,Low
chimney_service,Home & Garden Services,Home & Garden Services,11025,Business and Professional Services > Child Care Service,Business and Professional Services , Child Care Service,0.727,Medium
handyman,Home & Garden Services,Home & Garden Services,11068,Business and Professional Services > Laundromat,Business and Professional Services , Laundromat,0.556,Low
solar_panel_cleaning,Home & Garden Services,Home & Garden Services,18000,Sports and Recreation,Sports and Recreation,,0.537,Low
movers,Home & Garden Services,Home & Garden Services,16043,Landmarks and Outdoors > River,Landmarks and Outdoors , River,0.545,Low
patio_covers,Home & Garden Services,Home & Garden Services,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.583,Low
chimney_sweep,Home & Garden Services,Home & Garden Services,11118,Business and Professional Services > Machine Shop,Business and Professional Services , Machine Shop,0.64,Medium
dry_cleaning,Home & Garden Services,Home & Garden Services,19004,Travel and Transportation > Border Crossing,Travel and Transportation , Border Crossing,0.519,Low
tree_services,Home & Garden Services,Home & Garden Services,16069,Landmarks and Outdoors > Tree,Landmarks and Outdoors , Tree,0.9,High
snow_removal_service,Home & Garden Services,Home & Garden Services,11164,Business and Professional Services > Shoe Repair Service,Business and Professional Services , Shoe Repair Service,0.718,Medium
landscaping,Home & Garden Services,Home & Garden Services,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.556,Low
pool_cleaning,Home & Garden Services,Home & Garden Services,10045,Arts and Entertainment > Pool Hall,Arts and Entertainment , Pool Hall,0.545,Low
office_cleaning,Home & Garden Services,Home & Garden Services,11020,Business and Professional Services > Office > Business and Strategy Consulting Office,Business and Professional Services , Office ,0.9,High
security_systems,Home & Garden Services,Home & Garden Services,11162,Business and Professional Services > Security and Safety,Business and Professional Services , Security and Safety,0.629,Medium
fence_and_gate_sales_service,Home & Garden Services,Home & Garden Services,12091,Community and Government > Public and Social Service,Community and Government , Public and Social Service,0.642,Medium
window_washing,Home & Garden Services,Home & Garden Services,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.5,Low
janitorial_services,Home & Garden Services,Home & Garden Services,11006,Business and Professional Services > Audiovisual Service,Business and Professional Services , Audiovisual Service,0.737,Medium
home_cleaning,Home & Garden Services,Home & Garden Services,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.522,Low
occupational_safety,Home & Garden Services,Home & Garden Services,11162,Business and Professional Services > Security and Safety,Business and Professional Services , Security and Safety,0.579,Low
pest_control_service,Home & Garden Services,Home & Garden Services,11133,Business and Professional Services > Pet Service,Business and Professional Services , Pet Service,0.71,Medium
metal_detector_services,Manufacturing & Industrial,Manufacturing & Industrial,15018,Health and Medicine > Mental Health Service,Health and Medicine , Mental Health Service,0.727,Medium
jewelry_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
mining,Manufacturing & Industrial,Manufacturing & Industrial,10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe,0.471,Low
printing_equipment_and_supply,Manufacturing & Industrial,Manufacturing & Industrial,11161,Business and Professional Services > Scientific Equipment Supplier,Business and Professional Services , Scientific Equipment Supplier,0.69,Medium
b2b_storage_and_warehouses,Manufacturing & Industrial,Manufacturing & Industrial,11174,Business and Professional Services > Warehouse,Business and Professional Services , Warehouse,0.9,High
shoe_factory,Manufacturing & Industrial,Manufacturing & Industrial,11040,Business and Professional Services > Factory,Business and Professional Services , Factory,0.9,High
plastic_company,Manufacturing & Industrial,Manufacturing & Industrial,12115,Community and Government > Utility Company,Community and Government , Utility Company,0.667,Medium
chemical_plant,Manufacturing & Industrial,Manufacturing & Industrial,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.64,Medium
oil_and_gas_exploration_and_development,Manufacturing & Industrial,Manufacturing & Industrial,12079,Community and Government > Housing Development,Community and Government , Housing Development,0.552,Low
book_magazine_distribution,Manufacturing & Industrial,Manufacturing & Industrial,11031,Business and Professional Services > Distribution Center,Business and Professional Services , Distribution Center,0.533,Low
b2b_textiles,Manufacturing & Industrial,Manufacturing & Industrial,17038,Retail > Textiles Store,Retail , Textiles Store,0.615,Medium
metals,Manufacturing & Industrial,Manufacturing & Industrial,11122,Business and Professional Services > Metals Supplier,Business and Professional Services , Metals Supplier,0.9,High
printing_services,Manufacturing & Industrial,Manufacturing & Industrial,11172,Business and Professional Services > Tutoring Service,Business and Professional Services , Tutoring Service,0.727,Medium
b2b_rubber_and_plastics,Manufacturing & Industrial,Manufacturing & Industrial,11159,Business and Professional Services > Rubber Supplier,Business and Professional Services , Rubber Supplier,0.526,Low
coal_and_coke,Manufacturing & Industrial,Manufacturing & Industrial,15000,Health and Medicine,Health and Medicine,,0.562,Low
iron_work,Manufacturing & Industrial,Manufacturing & Industrial,17034,Retail > Discount Store,Retail , Discount Store,0.522,Low
mattress_manufacturing,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.588,Low
scrap_metals,Manufacturing & Industrial,Manufacturing & Industrial,17000,Retail,Retail,,0.556,Low
business_manufacturing_and_supply,Manufacturing & Industrial,Manufacturing & Industrial,11021,Business and Professional Services > Business Center,Business and Professional Services , Business Center,0.5,Low
environmental_renewable_natural_resource,Manufacturing & Industrial,Manufacturing & Industrial,11155,Business and Professional Services > Renewable Energy Service,Business and Professional Services , Renewable Energy Service,0.5,Low
industrial_spares_and_products_wholesaler,Manufacturing & Industrial,Manufacturing & Industrial,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.9,High
aircraft_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
lighting_fixture_manufacturers,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
glass_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
oil_and_gas_field_equipment_and_services,Manufacturing & Industrial,Manufacturing & Industrial,16057,Landmarks and Outdoors > Field,Landmarks and Outdoors , Field,0.9,High
saw_mill,Manufacturing & Industrial,Manufacturing & Industrial,16054,Landmarks and Outdoors > Windmill,Landmarks and Outdoors , Windmill,0.625,Medium
appliance_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
manufacturers_agents_and_representatives,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
leather_products_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
industrial_company,Manufacturing & Industrial,Manufacturing & Industrial,11106,Business and Professional Services > Industrial Estate,Business and Professional Services , Industrial Estate,0.686,Medium
mills,Manufacturing & Industrial,Manufacturing & Industrial,16058,Landmarks and Outdoors > Hill,Landmarks and Outdoors , Hill,0.667,Medium
textile_mill,Manufacturing & Industrial,Manufacturing & Industrial,17038,Retail > Textiles Store,Retail , Textiles Store,0.615,Medium
oil_and_gas,Manufacturing & Industrial,Manufacturing & Industrial,16022,Landmarks and Outdoors > Island,Landmarks and Outdoors , Island,0.588,Low
environmental_abatement_services,Manufacturing & Industrial,Manufacturing & Industrial,15018,Health and Medicine > Mental Health Service,Health and Medicine , Mental Health Service,0.642,Medium
industrial_equipment,Manufacturing & Industrial,Manufacturing & Industrial,11105,Business and Professional Services > Industrial Equipment Supplier,Business and Professional Services , Industrial Equipment Supplier,0.9,High
plastic_fabrication_company,Manufacturing & Industrial,Manufacturing & Industrial,12115,Community and Government > Utility Company,Community and Government , Utility Company,0.571,Low
iron_and_steel_industry,Manufacturing & Industrial,Manufacturing & Industrial,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.52,Low
furniture_assembly,Manufacturing & Industrial,Manufacturing & Industrial,17082,Retail > Furniture and Home Store,Retail , Furniture and Home Store,0.619,Medium
sheet_metal,Manufacturing & Industrial,Manufacturing & Industrial,17039,Retail > Fashion Retail,Retail , Fashion Retail,0.56,Low
flour_mill,Manufacturing & Industrial,Manufacturing & Industrial,17104,Retail > Outlet Mall,Retail , Outlet Mall,0.571,Low
distribution_services,Manufacturing & Industrial,Manufacturing & Industrial,11031,Business and Professional Services > Distribution Center,Business and Professional Services , Distribution Center,0.75,Medium
steel_fabricators,Manufacturing & Industrial,Manufacturing & Industrial,11109,Business and Professional Services > Laboratory,Business and Professional Services , Laboratory,0.593,Low
environmental_and_ecological_services_for_businesses,Manufacturing & Industrial,Manufacturing & Industrial,15018,Health and Medicine > Mental Health Service,Health and Medicine , Mental Health Service,0.493,Low
metal_supplier,Manufacturing & Industrial,Manufacturing & Industrial,11122,Business and Professional Services > Metals Supplier,Business and Professional Services , Metals Supplier,0.966,High
fingerprinting_service,Manufacturing & Industrial,Manufacturing & Industrial,11188,Business and Professional Services > Online Advertising Service,Business and Professional Services , Online Advertising Service,0.667,Medium
environmental_conservation_organization,Manufacturing & Industrial,Manufacturing & Industrial,12082,Community and Government > Organization,Community and Government , Organization,0.9,High
cosmetic_products_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
metal_plating_service,Manufacturing & Industrial,Manufacturing & Industrial,15018,Health and Medicine > Mental Health Service,Health and Medicine , Mental Health Service,0.762,Medium
screen_printing_t_shirt_printing,Manufacturing & Industrial,Manufacturing & Industrial,13000,Dining and Drinking,Dining and Drinking,,0.51,Low
environmental_testing,Manufacturing & Industrial,Manufacturing & Industrial,12064,Community and Government > Government Building,Community and Government , Government Building,0.55,Low
paper_mill,Manufacturing & Industrial,Manufacturing & Industrial,11132,Business and Professional Services > Paper Supplier,Business and Professional Services , Paper Supplier,0.583,Low
wallpaper_installers,Manufacturing & Industrial,Manufacturing & Industrial,11132,Business and Professional Services > Paper Supplier,Business and Professional Services , Paper Supplier,0.529,Low
jewelry_and_watches_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
furniture_manufacturers,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
3d_printing_service,Manufacturing & Industrial,Manufacturing & Industrial,11178,Business and Professional Services > Welding Service,Business and Professional Services , Welding Service,0.706,Medium
commercial_industrial,Manufacturing & Industrial,Manufacturing & Industrial,16025,Landmarks and Outdoors > Memorial Site,Landmarks and Outdoors , Memorial Site,0.529,Low
plastic_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,11120,Business and Professional Services > Manufacturer,Business and Professional Services , Manufacturer,0.9,High
warehouses,Manufacturing & Industrial,Manufacturing & Industrial,11174,Business and Professional Services > Warehouse,Business and Professional Services , Warehouse,0.947,High
environmental_conservation_and_ecological_organizations,Manufacturing & Industrial,Manufacturing & Industrial,12082,Community and Government > Organization,Community and Government , Organization,0.9,High
cotton_mill,Manufacturing & Industrial,Manufacturing & Industrial,17104,Retail > Outlet Mall,Retail , Outlet Mall,0.636,Medium
metal_materials_and_experts,Manufacturing & Industrial,Manufacturing & Industrial,15018,Health and Medicine > Mental Health Service,Health and Medicine , Mental Health Service,0.5,Low
b2b_oil_and_gas_extraction_and_services,Manufacturing & Industrial,Manufacturing & Industrial,11000,Business and Professional Services,Business and Professional Services,,0.575,Low
metal_fabricator,Manufacturing & Industrial,Manufacturing & Industrial,11109,Business and Professional Services > Laboratory,Business and Professional Services , Laboratory,0.615,Medium
social_media_company,Media & Communications,Media & Communications,11123,Business and Professional Services > Mobile Company,Business and Professional Services , Mobile Company,0.706,Medium
media_news_company,Media & Communications,Media & Communications,11123,Business and Professional Services > Mobile Company,Business and Professional Services , Mobile Company,0.625,Medium
radio_station,Media & Communications,Media & Communications,11144,Business and Professional Services > Radio Station,Business and Professional Services , Radio Station,1.0,High
print_media,Media & Communications,Media & Communications,17112,Retail > Print Store,Retail , Print Store,0.636,Medium
media_news_website,Media & Communications,Media & Communications,16025,Landmarks and Outdoors > Memorial Site,Landmarks and Outdoors , Memorial Site,0.581,Low
television_station,Media & Communications,Media & Communications,11173,Business and Professional Services > TV Station,Business and Professional Services , TV Station,0.714,Medium
mass_media,Media & Communications,Media & Communications,12117,Community and Government > Assisted Living,Community and Government , Assisted Living,0.48,Low
media_critic,Media & Communications,Media & Communications,15016,Health and Medicine > Medical Center,Health and Medicine , Medical Center,0.615,Medium
business_to_business_services,Other Services,Other Services,11182,Business and Professional Services > Business Service,Business and Professional Services , Business Service,0.9,High
shades_and_blinds,Other Services,Other Services,16061,Landmarks and Outdoors > States and Municipalities,Landmarks and Outdoors , States and Municipalities,0.571,Low
tabletop_games,Other Services,Other Services,19065,Travel and Transportation > Cable Car,Travel and Transportation , Cable Car,0.522,Low
farm_equipment_and_supply,Other Services,Other Services,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
books_mags_music_and_video,Other Services,Other Services,12000,Community and Government,Community and Government,,0.48,Low
gemstone_and_mineral,Other Services,Other Services,15000,Health and Medicine,Health and Medicine,,0.564,Low
infectious_disease_specialist,Other Services,Other Services,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.475,Low
