OM_Category,Best_Match_FSQ_Category_Label,Best_Match_FSQ_Category_Name,Best_Match_FSQ_Category_ID,Confidence_Score,Alternative_1_FSQ_Label,Alternative_1_Score,Alternative_2_FSQ_Label,Alternative_2_Score,Alternative_3_FSQ_Label,Alternative_3_Score,Alternative_4_FSQ_Label,Alternative_4_Score
merchandising_service,Business and Professional Services > Welding Service,Welding Service,63be6904847c3692a84b9b97,51.89,Business and Professional Services > Financial Service > Check Cashing Service,51.57,Business and Professional Services > Market Research and Consulting Service,50.12,Business and Professional Services > Automotive Service > Oil Change Service,49.67,Business and Professional Services > Translation Service,49.0
metal_detector_services,Community and Government > Organization > Social Services Organization,Social Services Organization,63be6904847c3692a84b9baf,33.59,Business and Professional Services,33.18,Business and Professional Services > Repair Service,32.55,Business and Professional Services > Shoe Repair Service,32.54,Business and Professional Services > Computer Repair Service,31.76
metal_fabricator,Travel and Transportation > Transport Hub > Rental Car Location,Rental Car Location,4bf58dd8d48988d1ef941735,25.14,Business and Professional Services > Laboratory,24.62,Retail > Framing Store,23.16,Business and Professional Services > Research Laboratory,22.86,Retail > Baby Store,22.86
metal_materials_and_experts,Retail > Arts and Crafts Store,Arts and Crafts Store,4bf58dd8d48988d127951735,22.46,Retail > Computers and Electronics Retail,22.35,Retail > Marijuana Dispensary,21.43,Business and Professional Services > Real Estate Service > Real Estate Appraiser,20.0,Health and Medicine > Mental Health Service,20.0
metal_plating_service,Health and Medicine > Mental Health Service,Mental Health Service,63be6904847c3692a84b9bc1,46.81,Business and Professional Services > Translation Service,46.33,Business and Professional Services > Welding Service,45.22,Business and Professional Services > Tutoring Service,44.44,Business and Professional Services > Real Estate Service,44.33
metal_supplier,Business and Professional Services > Metals Supplier,Metals Supplier,63be6904847c3692a84b9b73,61.62,Business and Professional Services > Petroleum Supplier,53.0,Business and Professional Services > Leather Supplier,52.33,Business and Professional Services > Paper Supplier,51.57,Business and Professional Services > Rubber Supplier,50.59
metals,Business and Professional Services > Metals Supplier,Metals Supplier,63be6904847c3692a84b9b73,68.86,Retail,26.67,Event > Entertainment Event > Festival,22.86,Dining and Drinking > Restaurant > Italian Restaurant > Malga,21.82,Travel and Transportation > Lodging > Motel,21.82
metro_station,Travel and Transportation > Transport Hub > Metro Station,Metro Station,4bf58dd8d48988d1fd931735,86.0,Travel and Transportation > Transport Hub > Tram Station,55.0,Business and Professional Services > TV Station,54.3,Business and Professional Services > Radio Station,53.77,Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station,51.8
mexican_grocery_store,Retail > Food and Beverage Retail > Grocery Store,Grocery Store,4bf58dd8d48988d118951735,60.25,Retail > Food and Beverage Retail > Grocery Store > Organic Grocery,46.03,Dining and Drinking > Restaurant > Mexican Restaurant,43.0,Retail > Eyecare Store,42.22,Retail > Furniture and Home Store > Home Appliance Store,41.7
mexican_restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,Mexican Restaurant,4bf58dd8d48988d1c1941735,86.0,Dining and Drinking > Restaurant > Mexican Restaurant > Botanero,63.56,Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant,62.18,Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant,61.65,Dining and Drinking > Restaurant > Mexican Restaurant > Tex-Mex Restaurant,61.65
middle_eastern_restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant,Middle Eastern Restaurant,4bf58dd8d48988d115941735,86.0,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Iraqi Restaurant,65.23,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Syrian Restaurant,65.05,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Yemeni Restaurant,65.05,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Israeli Restaurant,64.87
middle_school,Community and Government > Education > Primary and Secondary School > Middle School,Middle School,4f4533814b9074f6e4fb0106,86.0,Community and Government > Education > College and University > Medical School,52.63,Community and Government > Education > Music School,51.8,Community and Government > Education > Trade School,51.8,Community and Government > Education > College and University > Law School,50.83
midwife,Dining and Drinking > Restaurant > Indian Restaurant > Irani Cafe,Irani Cafe,54135bf5e4b08f3d2429dfe7,18.82,Dining and Drinking > Restaurant > Italian Restaurant > Piadineria,18.82,Dining and Drinking > Cidery,18.46,Dining and Drinking > Winery,18.46,Landmarks and Outdoors > Bridge,18.46
military_museum,Community and Government > Government Building > Military > Military Base,Military Base,4e52adeebd41615f56317744,54.43,Arts and Entertainment > Museum > History Museum,53.34,Arts and Entertainment > Museum > Art Museum,51.8,Community and Government > Government Building > Military,50.83,Arts and Entertainment > Museum,45.86
military_surplus_store,Retail > Party Supply Store,Party Supply Store,63be6904847c3692a84b9bf4,44.33,Retail > Medical Supply Store,43.0,Retail > Mobility Store,43.0,Retail > Pet Supplies Store,42.33,Community and Government > Government Building > Military > Military Base,41.48
mills,Landmarks and Outdoors > Hill,Hill,5bae9231bedf3950379f89cd,26.67,Landmarks and Outdoors > Windmill,24.62,Health and Medicine > Medical Lab,20.0,Landmarks and Outdoors > States and Municipalities > Village,20.0,Community and Government > Government Building > Military,18.46
miniature_golf_course,Arts and Entertainment > Mini Golf Course,Mini Golf Course,52e81612bcbc57f1066b79eb,64.26,Arts and Entertainment > Disc Golf Course,57.77,Sports and Recreation > Golf > Golf Course,57.17,Retail > Sporting Goods Retail > Golf Store,36.98,Sports and Recreation > Golf > Golf Club,35.0
mining,Travel and Transportation > Lodging > Inn,Inn,5bae9231bedf3950379f89cb,26.67,Sports and Recreation > Water Sports > Swimming,22.86,Business and Professional Services > Home Improvement Service > Home Inspection,19.05,Arts and Entertainment > Gaming Cafe,18.82,Dining and Drinking > Restaurant > Greek Restaurant > Magirio,18.46
mission,Business and Professional Services > Automotive Service > Transmissions Shop,Transmissions Shop,63be6904847c3692a84b9b31,28.4,Community and Government > Prison,24.62,Dining and Drinking > Restaurant > Greek Restaurant > Magirio,22.86,Travel and Transportation > Transport Hub > Bus Station,22.22,Business and Professional Services > Home Improvement Service > Home Inspection,21.82
misting_system_services,Business and Professional Services > Automation and Control System,Automation and Control System,63be6904847c3692a84b9b2a,43.15,Business and Professional Services,37.39,Business and Professional Services > Office,34.52,Business and Professional Services > Tailor,34.52,Business and Professional Services > Factory,34.24
mobile_clinic,Business and Professional Services > Health and Beauty Service > Massage Clinic,Massage Clinic,52f2ab2ebcbc57f1066b8b3c,49.67,Business and Professional Services > Mobile Company,49.67,Business and Professional Services > Health and Beauty Service > Skin Care Clinic,47.83,Health and Medicine > Maternity Clinic,47.83,Health and Medicine > Mental Health Service > Mental Health Clinic,47.24
mobile_dent_repair,Retail > Computers and Electronics Retail > Mobile Phone Store,Mobile Phone Store,4f04afc02fb6e1c99f3db0bc,40.78,Business and Professional Services > Mobile Company,38.83,Business and Professional Services > Automotive Service > Automotive Repair Shop,38.33,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,38.33,Business and Professional Services > Automotive Service > Tire Repair Shop,37.51
mobile_home_dealer,Retail > Computers and Electronics Retail > Mobile Phone Store,Mobile Phone Store,4f04afc02fb6e1c99f3db0bc,43.0,Business and Professional Services > Mobile Company,41.33,Health and Medicine > Home Health Care Service,35.38,Business and Professional Services > Home Improvement Service > Home Service,35.0,Retail > Furniture and Home Store,33.48
mobile_home_park,Business and Professional Services > Mobile Company,Mobile Company,63be6904847c3692a84b9b74,45.67,Retail > Computers and Electronics Retail > Mobile Phone Store,44.57,Arts and Entertainment > Amusement Park,40.33,Community and Government > Trailer Park,39.19,Landmarks and Outdoors > Park > Dog Park,36.33
mobile_home_repair,Retail > Computers and Electronics Retail > Mobile Phone Store,Mobile Phone Store,4f04afc02fb6e1c99f3db0bc,45.22,Business and Professional Services > Mobile Company,43.83,Business and Professional Services > Automotive Service > Automotive Repair Shop,38.33,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,38.33,Business and Professional Services > Shoe Repair Service,37.95
mobile_phone_accessories,Retail > Computers and Electronics Retail > Mobile Phone Store,Mobile Phone Store,4f04afc02fb6e1c99f3db0bc,62.05,Retail > Automotive Retail > Car Parts and Accessories,40.82,Retail > Fashion Retail > Fashion Accessories Store,40.82,Business and Professional Services > Mobile Company,35.28,Arts and Entertainment > Movie Theater,21.62
mobile_phone_repair,Retail > Computers and Electronics Retail > Mobile Phone Store,Mobile Phone Store,4f04afc02fb6e1c99f3db0bc,62.1,Business and Professional Services > Mobile Company,40.58,Business and Professional Services > Automotive Service > Automotive Repair Shop,37.8,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,37.8,Business and Professional Services > Shoe Repair Service,37.39
mobile_phone_store,Retail > Computers and Electronics Retail > Mobile Phone Store,Mobile Phone Store,4f04afc02fb6e1c99f3db0bc,86.0,Retail > Mobility Store,43.83,Retail > Big Box Store,42.14,Retail > Sporting Goods Retail > Bicycle Store,42.14,Retail > Fashion Retail > Shoe Store,42.05
mobility_equipment_services,Business and Professional Services > Equipment Rental Service,Equipment Rental Service,63be6904847c3692a84b9b3c,49.67,Business and Professional Services > Electrical Equipment Supplier,46.01,Business and Professional Services > Industrial Equipment Supplier,46.01,Business and Professional Services > Scientific Equipment Supplier,46.01,Retail > Mobility Store,35.85
modern_art_museum,Arts and Entertainment > Museum > Art Museum,Art Museum,4bf58dd8d48988d18f941735,59.3,Arts and Entertainment > Museum > Erotic Museum,43.0,Arts and Entertainment > Museum > History Museum,39.56,Arts and Entertainment > Museum > Science Museum,39.56,Arts and Entertainment > Museum,37.2
mohel,Travel and Transportation > Lodging > Motel,Motel,4bf58dd8d48988d1fb931735,32.0,Business and Professional Services > Home Improvement Service > Mover,24.0,Travel and Transportation > Lodging > Hotel,24.0,Community and Government > Spiritual Center > Mosque,21.82,Travel and Transportation > Lodging > Hostel,21.82
molecular_gastronomy_restaurant,Dining and Drinking > Restaurant > Molecular Gastronomy Restaurant,Molecular Gastronomy Restaurant,4bf58dd8d48988d1c2941735,86.0,Dining and Drinking > Restaurant > Middle Eastern Restaurant,44.9,Dining and Drinking > Restaurant > Indian Restaurant > Maharashtrian Restaurant,43.97,Dining and Drinking > Restaurant > Eastern European Restaurant > Bulgarian Restaurant,43.0,Dining and Drinking > Restaurant > Greek Restaurant > Modern Greek Restaurant,43.0
money_transfer_services,Community and Government > Organization > Social Services Organization,Social Services Organization,63be6904847c3692a84b9baf,33.59,Business and Professional Services,33.18,Business and Professional Services > Repair Service,32.55,Business and Professional Services > Computer Repair Service,31.76,Business and Professional Services > Shoe Repair Service,31.52
mongolian_restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Mongolian Restaurant,Mongolian Restaurant,4eb1d5724b900d56c88a45fe,86.0,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Goiano Restaurant,57.59,Dining and Drinking > Restaurant > Indian Restaurant > Goan Restaurant,57.29,Dining and Drinking > Restaurant > Eastern European Restaurant > Bosnian Restaurant,56.68,Dining and Drinking > Restaurant > Armenian Restaurant,55.82
montessori_school,Community and Government > Education > Music School,Music School,4f04b10d2fb6e1c99f3db0be,50.59,Community and Government > Education > Primary and Secondary School > Elementary School,48.88,Community and Government > Education > College and University > Medical School,48.81,Community and Government > Education > Nursery School,48.81,Community and Government > Education > Trade School,47.83
monument,Landmarks and Outdoors > Monument,Monument,4bf58dd8d48988d12d941735,86.0,Landmarks and Outdoors > Mountain,25.0,Community and Government > Spiritual Center > Mosque,22.86,Landmarks and Outdoors > States and Municipalities > County,22.86,Event > Convention,22.22
moroccan_restaurant,Dining and Drinking > Restaurant > Moroccan Restaurant,Moroccan Restaurant,4bf58dd8d48988d1c3941735,86.0,Dining and Drinking > Restaurant > Italian Restaurant > Roman Restaurant,57.29,Dining and Drinking > Restaurant > American Restaurant,56.68,Dining and Drinking > Restaurant > French Restaurant > Corsican Restaurant,56.68,Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant,56.33
mortgage_broker,Business and Professional Services > Financial Service > Stock Broker,Stock Broker,63be6904847c3692a84b9b45,46.7,Business and Professional Services > Financial Service > Business Broker,44.33,Travel and Transportation > Baggage Locker,24.83,Retail > Food and Beverage Retail > Grocery Store > Organic Grocery,24.0,Dining and Drinking > Restaurant > Mexican Restaurant > Botanero,20.87
mortgage_lender,Arts and Entertainment > Laser Tag Center,Laser Tag Center,52e81612bcbc57f1066b79e6,23.23,Travel and Transportation > Baggage Locker,22.07,Arts and Entertainment > Art Gallery,21.54,Business and Professional Services > Health and Beauty Service > Dry Cleaner,21.54,Dining and Drinking > Restaurant > Mexican Restaurant > Botanero,20.87
mortuary_services,Community and Government > Organization > Social Services Organization,Social Services Organization,63be6904847c3692a84b9baf,42.56,Business and Professional Services,40.25,Business and Professional Services > Laundry Service,38.07,Business and Professional Services > Office,37.67,Business and Professional Services > Tailor,37.67
mosque,Community and Government > Spiritual Center > Mosque,Mosque,4bf58dd8d48988d138941735,86.0,Landmarks and Outdoors > Monument,22.86,Retail > Boutique,22.86,Business and Professional Services > Home Improvement Service > Mover,21.82,Travel and Transportation > Lodging > Motel,21.82
motel,Travel and Transportation > Lodging > Motel,Motel,4bf58dd8d48988d1fb931735,86.0,Travel and Transportation > Lodging > Hotel,32.0,Travel and Transportation > Lodging > Hostel,29.09,Business and Professional Services > Home Improvement Service > Mover,24.0,Community and Government > Spiritual Center > Monastery,22.86
motor_freight_trucking,Retail > Automotive Retail > Motor Scooter Dealership,Motor Scooter Dealership,63be6904847c3692a84b9be8,31.99,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,21.18,Dining and Drinking > Food Truck,20.0,Nightlife Spot > Other Nightlife,19.46,Retail > Automotive Retail > Motorsports Store,19.41
motorcycle_dealer,Retail > Automotive Retail > Motorcycle Dealership,Motorcycle Dealership,5032833091d4c4b30a586d60,61.79,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,51.72,Retail > Automotive Retail > Motor Scooter Dealership,30.32,Retail > Automotive Retail > Moped Dealership,27.24,Retail > Automotive Retail > Car Dealership > RV and Motorhome Dealership,26.64
motorcycle_gear,Retail > Automotive Retail > Motorcycle Dealership,Motorcycle Dealership,5032833091d4c4b30a586d60,54.11,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,53.27,Business and Professional Services > Health and Beauty Service > Dry Cleaner,21.54,Community and Government > Trailer Park,20.74,Landmarks and Outdoors > Botanical Garden,20.65
motorcycle_manufacturer,Business and Professional Services > Manufacturer,Manufacturer,63be6904847c3692a84b9b70,50.43,Retail > Automotive Retail > Motorcycle Dealership,48.45,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,47.89,Business and Professional Services > Chemicals and Gasses Manufacturer,47.29,Business and Professional Services > Health and Beauty Service > Dry Cleaner,21.18
motorcycle_rentals,Retail > Automotive Retail > Motorcycle Dealership,Motorcycle Dealership,5032833091d4c4b30a586d60,53.77,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,53.0,Travel and Transportation > Boat Rental,24.83,Business and Professional Services > Lottery Retailer,23.53,Retail > Automotive Retail,22.86
motorcycle_repair,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,Motorcycle Repair Shop,63be6904847c3692a84b9b2c,80.87,Retail > Automotive Retail > Motorcycle Dealership,50.37,Business and Professional Services > Automotive Service > Tire Repair Shop,47.24,Business and Professional Services > Automotive Service > Automotive Repair Shop,45.56,Business and Professional Services > Computer Repair Service,43.0
motorsport_vehicle_dealer,Travel and Transportation > Electric Vehicle Charging Station,Electric Vehicle Charging Station,5032872391d4c4b30a586d64,34.26,Business and Professional Services > Automotive Service > Vehicle Inspection Station,32.02,Retail > Automotive Retail > Motorcycle Dealership,29.09,Retail > Automotive Retail > Motor Scooter Dealership,27.49,Retail > Automotive Retail > Motorsports Store,25.86
motorsport_vehicle_repair,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,Motorcycle Repair Shop,63be6904847c3692a84b9b2c,41.87,Business and Professional Services > Automotive Service > Automotive Repair Shop,36.76,Business and Professional Services > Automotive Service > Tire Repair Shop,35.85,Travel and Transportation > Electric Vehicle Charging Station,35.64,Business and Professional Services > Automotive Service > Vehicle Inspection Station,33.59
motorsports_store,Retail > Automotive Retail > Motorsports Store,Motorsports Store,59d79d6b2e268052fa2a3332,86.0,Retail > Furniture and Home Store > Mattress Store,51.39,Retail > Outdoor Supply Store,48.95,Retail > Outlet Store,47.83,Retail > Toy Store,47.62
mountain,Landmarks and Outdoors > Mountain,Mountain,4eb1d4d54b900d56c88a45fc,86.0,Landmarks and Outdoors > Mountain Hut,78.0,Landmarks and Outdoors > Fountain,35.0,Landmarks and Outdoors > Monument,25.0,Travel and Transportation > Train,24.62
mountain_bike_parks,Landmarks and Outdoors > Mountain,Mountain,4eb1d4d54b900d56c88a45fc,40.04,Landmarks and Outdoors > Mountain Hut,39.56,Landmarks and Outdoors > Bike Trail,32.89,Travel and Transportation > Bike Rental,32.89,Community and Government > Trailer Park,23.23
mountain_bike_trails,Landmarks and Outdoors > Bike Trail,Bike Trail,56aa371be4b08b9a8d57355e,43.0,Landmarks and Outdoors > Mountain Hut,41.33,Landmarks and Outdoors > Mountain,39.19,Travel and Transportation > Bike Rental,36.98,Travel and Transportation > Transport Hub > Marine Terminal,22.86
movers,Business and Professional Services > Home Improvement Service > Mover,Mover,63be6904847c3692a84b9b5c,36.36,Landmarks and Outdoors > River,21.82,Travel and Transportation > Lodging > Motel,21.82,Community and Government > Spiritual Center > Monastery,21.33,Arts and Entertainment > Movie Theater,21.05
movie_television_studio,Business and Professional Services > Design Studio,Design Studio,4bf58dd8d48988d1f4941735,40.78,Sports and Recreation > Gym and Studio > Pilates Studio,40.12,Sports and Recreation > Gym and Studio,37.95,Sports and Recreation > Gym and Studio > Cycle Studio,36.9,Business and Professional Services > Recording Studio,36.85
muay_thai_club,Arts and Entertainment > Salsa Club,Salsa Club,52e81612bcbc57f1066b79ec,39.67,Arts and Entertainment > Strip Club,39.67,Arts and Entertainment > Country Dance Club,38.83,Arts and Entertainment > Comedy Club,38.73,Sports and Recreation > Racquet Sports > Tennis > Tennis Club,38.73
museum,Arts and Entertainment > Museum,Museum,4bf58dd8d48988d181941735,86.0,Arts and Entertainment > Museum > Art Museum,76.0,Arts and Entertainment > Museum > Erotic Museum,71.26,Arts and Entertainment > Museum > History Museum,70.0,Arts and Entertainment > Museum > Science Museum,70.0
music_and_dvd_store,Retail > Music Store,Music Store,4bf58dd8d48988d1fe941735,59.0,Retail > Food and Beverage Retail > Candy Store,43.0,Retail > Food and Beverage Retail > Fruit and Vegetable Store,41.79,Retail > Food and Beverage Retail > Meat and Seafood Store,41.7,Retail > Furniture and Home Store,40.52
music_critic,Event > Entertainment Event > Music Festival,Music Festival,5267e4d9e4b0ec79466e48d1,47.62,Retail > Music Store,47.35,Community and Government > Education > Music School,46.33,Arts and Entertainment > Performing Arts Venue > Music Venue,43.87,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,30.62
music_festivals_and_organizations,Event > Entertainment Event > Music Festival,Music Festival,5267e4d9e4b0ec79466e48d1,40.16,Retail > Music Store,34.52,Arts and Entertainment > Performing Arts Venue > Music Venue,30.88,Community and Government > Education > Music School,30.56,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,25.99
music_production,Community and Government > Education > Music School,Music School,4f04b10d2fb6e1c99f3db0be,45.86,Event > Entertainment Event > Music Festival,44.33,Arts and Entertainment > Performing Arts Venue > Music Venue,43.74,Retail > Music Store,43.74,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,31.18
music_production_services,Business and Professional Services,Business and Professional Services,4d4b7105d754a06375d81259,42.1,Business and Professional Services > Office,38.69,Business and Professional Services > Tailor,38.69,Business and Professional Services > Factory,38.36,Business and Professional Services > Ballroom,38.05
music_school,Community and Government > Education > Music School,Music School,4f04b10d2fb6e1c99f3db0be,86.0,Community and Government > Education > College and University > Medical School,53.77,Community and Government > Education > Circus School,51.8,Community and Government > Education > Primary and Secondary School > Middle School,51.8,Community and Government > Education > Primary and Secondary School > High School,50.83
music_venue,Arts and Entertainment > Performing Arts Venue > Music Venue,Music Venue,4bf58dd8d48988d1e5931735,86.0,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,56.6,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,55.36,Retail > Music Store,48.45,Event > Entertainment Event > Music Festival,45.4
musical_band_orchestras_and_symphonies,Retail > Automotive Retail > Car Parts and Accessories,Car Parts and Accessories,63be6904847c3692a84b9be6,21.59,Business and Professional Services,20.0,Dining and Drinking > Restaurant > Italian Restaurant > Sicilian Restaurant,19.65,Dining and Drinking > Restaurant > Salad Restaurant,19.26,Business and Professional Services > Office > Business and Strategy Consulting Office,18.7
musical_instrument_services,Business and Professional Services > Water Treatment Service,Water Treatment Service,63be6904847c3692a84b9b96,36.56,Business and Professional Services > Event Service,36.07,Business and Professional Services > Pet Service,35.53,Business and Professional Services > Home Improvement Service,35.42,Business and Professional Services > Waste Management Service,35.42
musical_instrument_store,Retail > Costume Store,Costume Store,52f2ab2ebcbc57f1066b8b17,42.28,Retail > Medical Supply Store,41.79,Retail > Music Store,41.48,Retail > Supplement Store,40.82,Retail > Furniture and Home Store > Carpet Store,40.78
musician,Health and Medicine > Physician,Physician,63be6904847c3692a84b9bc6,28.24,Event > Entertainment Event > Music Festival,25.45,Arts and Entertainment > Performing Arts Venue > Music Venue,25.26,Business and Professional Services > Home Improvement Service > Electrician,21.05,Retail > Music Store,21.05
mystic,Sports and Recreation > Gymnastics,Gymnastics,63be6904847c3692a84b9c0a,25.0,Health and Medicine > Physician,21.33,Arts and Entertainment > Strip Club,20.0,Arts and Entertainment > Performing Arts Venue > Music Venue,18.82,Business and Professional Services > Film Studio,18.82
nail_salon,Business and Professional Services > Health and Beauty Service > Nail Salon,Nail Salon,4f04aa0c2fb6e1c99f3db0b8,86.0,Business and Professional Services > Health and Beauty Service > Hair Salon,55.0,Business and Professional Services > Health and Beauty Service > Tanning Salon,50.83,Travel and Transportation > Transport Hub > Rail Station,29.09,Business and Professional Services > Radio Station,24.35
nanny_services,Community and Government > Organization > Social Services Organization,Social Services Organization,63be6904847c3692a84b9baf,42.05,Business and Professional Services,41.33,Business and Professional Services > Office,38.44,Business and Professional Services > Tailor,38.44,Business and Professional Services > Factory,38.17
national_museum,Arts and Entertainment > Museum > Art Museum,Art Museum,4bf58dd8d48988d18f941735,51.8,Arts and Entertainment > Museum > Erotic Museum,48.71,Landmarks and Outdoors > Park > National Park,48.71,Arts and Entertainment > Museum > History Museum,47.83,Arts and Entertainment > Museum,45.86
national_park,Landmarks and Outdoors > Park > National Park,National Park,52e81612bcbc57f1066b7a21,86.0,Landmarks and Outdoors > Park > Natural Park,55.0,Community and Government > Trailer Park,48.6,Arts and Entertainment > Water Park,47.35,Sports and Recreation > Skating > Skate Park,47.35
national_security_services,Business and Professional Services > Security and Safety,Security and Safety,63be6904847c3692a84b9b8f,48.2,Business and Professional Services > Laundry Service,38.9,Business and Professional Services,37.67,Landmarks and Outdoors > Park > National Park,36.85,Business and Professional Services > Photography Service,36.82
natural_gas_supplier,Business and Professional Services > Metals Supplier,Metals Supplier,63be6904847c3692a84b9b73,46.05,Business and Professional Services > Leather Supplier,43.0,Business and Professional Services > Home Improvement Service > Garage Door Supplier,42.33,Business and Professional Services > Plastics Supplier,42.28,Business and Professional Services > Paper Supplier,42.22
natural_hot_springs,Landmarks and Outdoors > Park > Natural Park,Natural Park,63be6904847c3692a84b9be0,42.14,Landmarks and Outdoors > Hot Spring,40.92,Dining and Drinking > Restaurant > Hot Dog Joint,28.86,Travel and Transportation > Hot Air Balloon Tour Agency,25.51,Health and Medicine > Mental Health Service,22.0
nature_reserve,Landmarks and Outdoors > Nature Preserve,Nature Preserve,52e81612bcbc57f1066b7a13,61.62,Business and Professional Services > Home Improvement Service > Tree Service,27.69,Business and Professional Services > Creative Service,24.0,Business and Professional Services > Tutoring Service,24.0,Business and Professional Services > Event Service,23.7
naturopathic_holistic,Health and Medicine > Physician > Pathologist,Pathologist,63be6904847c3692a84b9bd6,22.5,Health and Medicine > Physician > Gastroenterologist,20.51,Health and Medicine > Physician > Neurologist,20.0,Health and Medicine > Physician > Ophthalmologist,20.0,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Peruvian Restaurant > Peruvian Roast Chicken Joint,19.59
nephrologist,Health and Medicine > Physician > Neurologist,Neurologist,63be6904847c3692a84b9bd0,34.78,Health and Medicine > Physician > Pathologist,31.3,Health and Medicine > Physician > Urologist,30.48,Health and Medicine > Mental Health Service > Psychologist,30.0,Health and Medicine > Physician > Oncologist,29.09
neurologist,Health and Medicine > Physician > Neurologist,Neurologist,63be6904847c3692a84b9bd0,86.0,Health and Medicine > Physician > Urologist,36.0,Health and Medicine > Physician > Oncologist,30.48,Health and Medicine > Physician > Dermatologist,30.0,Health and Medicine > Physician > Radiologist,29.09
neuropathologist,Health and Medicine > Physician > Neurologist,Neurologist,63be6904847c3692a84b9bd0,32.59,Health and Medicine > Physician > Pathologist,32.59,Health and Medicine > Physician > Dermatologist,30.34,Health and Medicine > Physician > Urologist,28.8,Health and Medicine > Physician > Ophthalmologist,28.39
neurotologist,Health and Medicine > Physician > Neurologist,Neurologist,63be6904847c3692a84b9bd0,36.67,Health and Medicine > Physician > Urologist,32.73,Health and Medicine > Physician > Dermatologist,30.77,Health and Medicine > Physician > Oncologist,27.83,Health and Medicine > Physician > Anesthesiologist,27.59
newspaper_advertising,Business and Professional Services > Online Advertising Service,Online Advertising Service,63be6904847c3692a84b9b77,46.83,Business and Professional Services > Advertising Agency,45.56,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",40.39,Sports and Recreation > Skating,21.54,Sports and Recreation,20.95
newspaper_and_magazines_store,Retail > Food and Beverage Retail > Herbs and Spices Store,Herbs and Spices Store,52f2ab2ebcbc57f1066b8b2c,41.43,Retail > Furniture and Home Store,38.97,Retail > Arts and Crafts Store,38.73,Retail > Food and Beverage Retail > Meat and Seafood Store,38.29,Retail > Leather Goods Store,38.0
nicaraguan_restaurant,Dining and Drinking > Restaurant > French Restaurant > Catalan Restaurant,Catalan Restaurant,57558b36e4b065ecebd306cb,55.82,Dining and Drinking > Restaurant > Caribbean Restaurant > Cuban Restaurant,55.43,Dining and Drinking > Restaurant > Italian Restaurant > Ligurian Restaurant,55.0,Dining and Drinking > Restaurant > Afghan Restaurant,54.58,Dining and Drinking > Restaurant > French Restaurant > Norman Restaurant,54.58
nigerian_restaurant,Dining and Drinking > Restaurant > Italian Restaurant > Ligurian Restaurant,Ligurian Restaurant,55a5a1ebe4b013909087cb98,58.79,Dining and Drinking > Restaurant > German Restaurant,58.56,Dining and Drinking > Restaurant > Hungarian Restaurant,57.87,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant,57.59,Dining and Drinking > Restaurant > American Restaurant,56.68
night_market,Dining and Drinking > Night Market,Night Market,53e510b7498ebcb1801b55d4,86.0,Retail > Food and Beverage Retail > Fish Market,54.3,Retail > Floating Market,49.67,Retail > Market,49.67,Event > Marketplace > Christmas Market,48.71
non_governmental_association,Travel and Transportation > Transport Hub > Rental Car Location,Rental Car Location,4bf58dd8d48988d1ef941735,25.53,Community and Government > Organization > Environmental Organization,25.19,Community and Government > Education,25.0,Community and Government > Assisted Living,24.0,Community and Government > Organization,23.88
noodles_restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Noodle Restaurant,Noodle Restaurant,4bf58dd8d48988d1d1941735,61.86,Dining and Drinking > Restaurant > Fondue Restaurant,55.0,Dining and Drinking > Restaurant > Italian Restaurant > Molise Restaurant,55.0,Dining and Drinking > Restaurant > Polish Restaurant,55.0,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Cantonese Restaurant,54.58
